State,Date,New Deaths,7-Day Moving Avg,Historic Deaths
United States,Apr 22 2020,2251,2231,0
United States,Apr 21 2020,2658,2296,0
United States,Apr 20 2020,2056,2269,0
United States,Apr 19 2020,2004,2246,0
United States,Apr 18 2020,1876,2226,0
United States,Apr 17 2020,2322,2272,0
United States,Apr 16 2020,2454,2260,0
United States,Apr 15 2020,2703,2226,0
United States,Apr 14 2020,2471,2161,0
United States,Apr 13 2020,1895,2108,0
United States,Apr 12 2020,1861,2080,0
United States,Apr 11 2020,2204,2081,0
United States,Apr 10 2020,2237,1987,0
United States,Apr  9 2020,2216,1864,0
United States,Apr  8 2020,2244,1735,0
United States,Apr  7 2020,2100,1575,0
United States,Apr  6 2020,1699,1416,0
United States,Apr  5 2020,1871,1263,0
United States,Apr  4 2020,1548,1091,0
United States,Apr  3 2020,1373,950,0
United States,Apr  2 2020,1311,823,0
United States,Apr  1 2020,1123,684,0
United States,Mar 31 2020,990,567,0
United States,Mar 30 2020,626,455,0
United States,Mar 29 2020,668,389,0
United States,Mar 28 2020,560,311,0
United States,Mar 27 2020,485,247,0
United States,Mar 26 2020,339,191,0
United States,Mar 25 2020,301,152,0
United States,Mar 24 2020,212,119,0
United States,Mar 23 2020,161,92,0
United States,Mar 22 2020,123,72,0
United States,Mar 21 2020,112,57,0
United States,Mar 20 2020,92,43,0
United States,Mar 19 2020,69,32,0
United States,Mar 18 2020,64,23,0
United States,Mar 17 2020,27,15,0
United States,Mar 16 2020,21,13,0
United States,Mar 15 2020,20,10,0
United States,Mar 14 2020,13,8,0
United States,Mar 13 2020,11,7,0
United States,Mar 12 2020,7,6,0
United States,Mar 11 2020,12,5,0
United States,Mar 10 2020,7,4,0
United States,Mar  9 2020,4,3,0
United States,Mar  8 2020,4,4,0
United States,Mar  7 2020,5,3,0
United States,Mar  6 2020,3,2,0
United States,Mar  5 2020,3,2,0
United States,Mar  4 2020,4,2,0
United States,Mar  3 2020,3,1,0
United States,Mar  2 2020,6,1,0
United States,Mar  1 2020,0,0,0
United States,Feb 29 2020,1,0,0
United States,Feb 28 2020,0,0,0
United States,Feb 27 2020,1,0,0
United States,Feb 26 2020,0,0,0
United States,Feb 25 2020,0,0,0
United States,Feb 24 2020,0,0,0
United States,Feb 23 2020,0,0,0
United States,Feb 22 2020,0,0,0
United States,Feb 21 2020,0,0,0
United States,Feb 20 2020,0,0,0
United States,Feb 19 2020,0,0,0
United States,Feb 18 2020,0,0,0
United States,Feb 17 2020,0,0,0
United States,Feb 16 2020,0,0,0
United States,Feb 15 2020,0,0,0
United States,Feb 14 2020,0,0,0
United States,Feb 13 2020,0,0,0
United States,Feb 12 2020,0,0,0
United States,Feb 11 2020,0,0,0
United States,Feb 10 2020,0,0,0
United States,Feb  9 2020,0,0,0
United States,Feb  8 2020,0,0,0
United States,Feb  7 2020,0,0,0
United States,Feb  6 2020,0,0,0
United States,Feb  5 2020,0,0,0
United States,Feb  4 2020,0,0,0
United States,Feb  3 2020,0,0,0
United States,Feb  2 2020,0,0,0
United States,Feb  1 2020,0,0,0
United States,Jan 31 2020,0,0,0
United States,Jan 30 2020,0,0,0
United States,Jan 29 2020,0,0,0
United States,Jan 28 2020,0,0,0
United States,Jan 27 2020,0,0,0
United States,Jan 26 2020,0,0,0
United States,Jan 25 2020,0,0,0
United States,Jan 24 2020,0,0,0
United States,Jan 23 2020,0,0,0
